Name,Safety
BBa_K1486000,1
BBa_K1486001,1
BBa_K1486002,1
BBa_K1486005,1
BBa_K1486006,1
BBa_K1486007,1
BBa_K1486008,1
BBa_K1486009,1
BBa_K1486010,1
BBa_K1486011,1
BBa_K1486012,1
BBa_K1486013,1
BBa_K1486014,1
BBa_K1486015,1
BBa_K1486016,1
BBa_K1486017,1
BBa_K1486018,1
BBa_K1486019,1
BBa_K1486020,1
BBa_K1486021,1
BBa_K1486022,1
BBa_K1486031,1
BBa_K1486038,1
BBa_K1486039,1
BBa_K1486040,1
BBa_K1486041,1
BBa_K1486042,1
BBa_K1486043,1
BBa_K1486044,1
BBa_K1486045,1
BBa_K1486046,1
BBa_K1486047,1
BBa_K1486048,1
BBa_K1486049,1
BBa_K1486050,1
BBa_K1486054,1
BBa_K1486055,1
BBa_K1486056,1
BBa_K1499200,1
BBa_K1499201,1
BBa_K1499202,1
BBa_K150005,1
BBa_K1508002,1
BBa_K1508003,1
BBa_K1520005,1
BBa_K1520010,1
BBa_K1520014,1
BBa_K1520025,1
BBa_K1520026,1
BBa_K1520509,1
BBa_K1520515,1
BBa_K1520516,1
BBa_K1585100,1
BBa_K1585101,1
BBa_K1585102,1
BBa_K1585103,1
BBa_K1585104,1
BBa_K1585105,1
BBa_K1585106,1
BBa_K1585110,1
BBa_K1585113,1
BBa_K1585115,1
BBa_K1585116,1
BBa_K1585117,1
BBa_K1585118,1
BBa_K1585119,1
BBa_K1587000,1
BBa_K1587001,1
BBa_K1587003,1
BBa_K1614000,1
BBa_K1639000,1
BBa_K1639002,1
BBa_K1639006,1
BBa_K1639008,1
BBa_K1639022,1
BBa_K1660005,1
BBa_K1660007,1
BBa_K1675000,1
BBa_K1675001,1
BBa_K1675002,1
BBa_K1675004,1
BBa_K1675005,1
BBa_K1675015,1
BBa_K1680026,1
BBa_K1682002,1
BBa_K1682003,1
BBa_K1682004,1
BBa_K1682007,1
BBa_K1682008,1
BBa_K1682009,1
BBa_K1682011,1
BBa_K1682012,1
BBa_K1682013,1
BBa_K1682015,1
BBa_K1682016,1
BBa_K1682017,1
BBa_K1685011,1
BBa_K1709000,1
BBa_K1709001,1
BBa_K1709002,1
BBa_K1709003,1
BBa_K1709004,1
BBa_K1709005,1
BBa_K1709006,1
BBa_K1728000,1
BBa_K1728001,1
BBa_K1728002,1
BBa_K1728003,1
BBa_K1728008,1
BBa_K1728009,1
BBa_K1728010,1
BBa_K1728011,1
BBa_K1728012,1
BBa_K1728013,1
BBa_K1728014,1
BBa_K1728015,1
BBa_K180000,1
BBa_K180001,1
BBa_K180002,1
BBa_K180003,1
BBa_K180004,1
BBa_K180005,1
BBa_K180006,1
BBa_K180007,1
BBa_K180008,1
BBa_K180009,1
BBa_K180010,1
BBa_K180011,1
BBa_K180012,1
BBa_K180013,1
BBa_K180014,1
BBa_K180015,1
BBa_K180016,1
BBa_K180017,1
BBa_K180018,1
BBa_K180019,1
BBa_K180020,1
BBa_K1819000,1
BBa_K1824012,1
BBa_K1824891,1
BBa_K1824892,1
BBa_K1824893,1
BBa_K1824894,1
BBa_K1824895,1
BBa_K1824896,1
BBa_K1833001,1
BBa_K1833004,1
BBa_K1833998,1
BBa_K1847000,1
BBa_K1855000,1
BBa_K1855001,1
BBa_K1855002,1
BBa_K1855003,1
BBa_K1855004,1
BBa_K1855005,1
BBa_K1886017,1
BBa_K1895001,1
BBa_K1895002,1
BBa_K1895003,1
BBa_K1895004,1
BBa_K1895005,1
BBa_K1895007,1
BBa_K1895999,1
BBa_K1897000,1
BBa_K1897001,1
BBa_K1897002,1
BBa_K1897003,1
BBa_K1897005,1
BBa_K1897007,1
BBa_K1899001,1
BBa_K1899002,1
BBa_K1899003,1
BBa_K1899004,1
BBa_K1899005,1
BBa_K1899006,1
BBa_K1899007,1
BBa_K1899008,1
BBa_K1907002,1
